logreg__C,train score,test score,logreg__penalty
10.0,0.6106566537034553,0.6006034193764667,
0.1,0.5983065399532226,0.5899724664712674,
0.01,0.5980104805044854,0.5889066524558131,l2
0.01,0.5996684134174142,0.5897504218847145,l2
